"","x","y","z"
"1",1.235505626899,-0.999999895681564,-205.884137966082
"2",1.298005626899,-0.999999895681564,-200.808158023238
"3",1.360505626899,-0.999999895681564,-195.809948242608
"4",1.423005626899,-0.999999895681564,-190.933720406281
"5",1.485505626899,-0.999999895681564,-186.223566645402
"6",1.548005626899,-0.999999895681564,-181.723532043066
"7",1.610505626899,-0.999999895681564,-177.471262676778
"8",1.673005626899,-0.999999895681564,-173.504021447704
"9",1.735505626899,-0.999999895681564,-169.85552878084
"10",1.798005626899,-0.999999895681564,-166.559714691964
"11",1.860505626899,-0.999999895681564,-163.637005186932
"12",1.923005626899,-0.999999895681564,-161.108143958813
"13",1.985505626899,-0.999999895681564,-158.989977879689
"14",2.048005626899,-0.999999895681564,-157.295758193269
"15",2.110505626899,-0.999999895681564,-156.035515154195
"16",2.173005626899,-0.999999895681564,-155.216471989971
"17",2.235505626899,-0.999999895681564,-154.843471192416
"18",2.298005626899,-0.999999895681564,-154.919396798222
"19",2.360505626899,-0.999999895681564,-155.445585648595
"20",2.423005626899,-0.999999895681564,-156.422216989581
"21",2.485505626899,-0.999999895681564,-157.848631970954
"22",2.548005626899,-0.999999895681564,-159.723453987314
"23",2.610505626899,-0.999999895681564,-162.044362470725
"24",2.673005626899,-0.999999895681564,-164.807666984762
"25",2.735505626899,-0.999999895681564,-168.008294935925
"26",1.235505626899,-0.916666562348231,-199.114444446339
"27",1.298005626899,-0.916666562348231,-194.425802367593
"28",1.360505626899,-0.916666562348231,-189.81042951615
"29",1.423005626899,-0.916666562348231,-185.310305210873
"30",1.485505626899,-0.916666562348231,-180.96928167392
"31",1.548005626899,-0.916666562348231,-176.824872696305
"32",1.610505626899,-0.916666562348231,-172.917838895582
"33",1.673005626899,-0.916666562348231,-169.281267480202
"34",1.735505626899,-0.916666562348231,-165.946783570836
"35",1.798005626899,-0.916666562348231,-162.946328774673
"36",1.860505626899,-0.916666562348231,-160.306310860732
"37",1.923005626899,-0.916666562348231,-158.043727175949
"38",1.985505626899,-0.916666562348231,-156.175362751154
"39",2.048005626899,-0.916666562348231,-154.714570017131
"40",2.110505626899,-0.916666562348231,-153.671608987186
"41",2.173005626899,-0.916666562348231,-153.054026380315
"42",2.235505626899,-0.916666562348231,-152.867048549641
